Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Image,SEO Title,SEO Description,Status
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,The 12th Man Legion,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,The Dawg Pound,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Silver & Black Horde,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,The Bengal Stripes,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,The Greatest Show,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Custom,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,Golf Ball Tray,"<p>A 3D printed tray that holds 30 standard golf balls in a clean grid layout, for simulator setups, indoor practice, or a garage display.</p><p>Classic is ball slots only. Premium Flat adds a flat tray section for tees, markers, or accessories.</p><p>Printed to order in our own workshop.</p>",The Curious Maker,Golf Accessory,"3d_printed_golf, golf_accessory, golf_ball_holder, golf_ball_tray, golf_display, golf_display_stand, golf_gift_for_him, golf_man_cave, golf_organizer, golf_simulator, golf_storage, golf_tee_holder, PETG, unique_golf_gift",TRUE,Type,Classic,Colors,Yellow,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,"Golf Ball Tray, Simulator Storage","A 3D printed tray that holds 30 golf balls in a clean grid layout. Classic or Premium Flat, printed to order in our workshop.",active
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Classic,,Orange,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Classic,,Green,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Classic,,Red,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Classic,,Blue,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Classic,,Black,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Classic,,White,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Classic,,Lime Green,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Classic,,Forest Green,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Classic,,Lake Blue,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Classic,,Peanut Brown,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Classic,,Gray,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Premium Flat,,Yellow,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Premium Flat,,Orange,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Premium Flat,,Green,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Premium Flat,,Red,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Premium Flat,,Blue,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Premium Flat,,Black,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Premium Flat,,White,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Premium Flat,,Lime Green,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Premium Flat,,Forest Green,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Premium Flat,,Lake Blue,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Premium Flat,,Peanut Brown,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
3d-printed-golf-ball-tray-simulator-accessory-unique-golf-gift-for-him,,,,,,,,Premium Flat,,Gray,,0,,continue,manual,16.00,,TRUE,FALSE,,,,,,,
strike-form-golf-swing-trainer-wedge-practice-improve-contact-and-swing-path,Strike Form Golf Swing Trainer,"<p>A wedge training aid built to help improve strike quality, contact consistency, and swing path awareness through repeatable practice. Works on turf, hitting mats, and indoor simulators, on its own or paired with training walls.</p><p>Crafted from TPU, a flexible and durable material chosen to hold up to the occasional mishit.</p><p>Classic is the training wedge only. Deluxe adds two training walls, the Ruler Wall and the Diagonal Wall. Premium adds a storage case for the wedge and walls.</p><p>Available in Light Blue and Red.</p>",The Curious Maker,Golf Training Aid,"backyard_golf, consistency_aid, golf_aid, golf_gift_for_him, golf_practice_tool, golf_simulator, golf_swing_trainer, golf_training_gear, golf_wedge_trainer, impact_trainer, PETG, strike_form_wedge, swing_path_guide, swing_trainer_gift",TRUE,Type,Classic,Color,Lake Blue,,0,,continue,manual,39.00,,TRUE,FALSE,,,,,Strike Form Golf Swing Trainer,"A wedge training aid for strike quality and swing path, built from durable TPU. Classic, Deluxe, or Premium sets available.",active
strike-form-golf-swing-trainer-wedge-practice-improve-contact-and-swing-path,,,,,,,,Classic,,Red,,0,,continue,manual,39.00,,TRUE,FALSE,,,,,,,
strike-form-golf-swing-trainer-wedge-practice-improve-contact-and-swing-path,,,,,,,,Deluxe,,Lake Blue,,0,,continue,manual,64.95,,TRUE,FALSE,,,,,,,
strike-form-golf-swing-trainer-wedge-practice-improve-contact-and-swing-path,,,,,,,,Deluxe,,Red,,0,,continue,manual,64.95,,TRUE,FALSE,,,,,,,
strike-form-golf-swing-trainer-wedge-practice-improve-contact-and-swing-path,,,,,,,,Premium,,Lake Blue,,0,,continue,manual,79.95,,TRUE,FALSE,,,,,,,
strike-form-golf-swing-trainer-wedge-practice-improve-contact-and-swing-path,,,,,,,,Premium,,Red,,0,,continue,manual,79.95,,TRUE,FALSE,,,,,,,
personalized-keycap-fidget-clicker-keychain-custom-name-or-word-sensory-toy-3d-printed-gift,"Personalized Keycap Fidget Clicker Keychain, Custom Name or Word Sensory Toy, 3D Printed Gift","<p>A personalized fidget clicker keychain, 3D printed to order with your name, word, phrase, numbers, or symbols, in 1 to 10 characters.</p><p>How to order: choose your size, 1 to 10 characters; choose your attachment, lobster clasp or wrist strap; choose a color combination; then message us with your personalization so we can make it just for you.</p><p>Color combinations (case, keycap, letter): Pastel collection, Snowberry (white, pink, white), Blush (pink, pink, white), Sky (blue, blue, white), Cloud (white, blue, white), Lavender (purple, purple, white), Wisteria (white, purple, white), Matcha (green, white, green). Cafe collection, Vanilla Latte (beige, caramel, beige), Cafe Au Lait (caramel, beige, caramel), Espresso (brown, beige, brown). Candy Shop collection, Cotton Candy (pink, blue, pink), Lemon Drop (yellow, white, yellow), Peach Sorbet (peach, white, peach), Taffy (purple, yellow, purple), Cookies and Cream (charcoal, white, charcoal). Or request a custom color combo.</p><p>Optional symbols, one symbol equals one character slot: bow, clover, flower, cat, cloud, paw print, duck, heart, star, moon, fire, lightning, airplane, music note, coffee cup.</p><p>Every clicker includes a lobster clasp attachment. A wrist strap attachment is available instead, in 10 color options.</p><p>Wipe clean with a soft, dry cloth. Avoid prolonged exposure to high heat.</p>",The Curious Maker,Fidget Toy,"anxiety_fidget_toy, clicky_fidget_toy, custom_name_keychain, custom_word_clicker, desk_toy_fidget, fidget_clicker, gift_for_teens, keycap_clicker, personalized_gift, sensory_fidget_toy, stocking_stuffer, student_gift, teacher_gift",TRUE,Number of Characters,1-2 Characters,Attachment Style,Lobster Clasp,,0,,continue,manual,12.00,,TRUE,TRUE,,,,,Personalized Fidget Clicker Keychain,"A custom name or word fidget clicker keychain, 3D printed to order. Choose your colors and attachment style.",active
personalized-keycap-fidget-clicker-keychain-custom-name-or-word-sensory-toy-3d-printed-gift,,,,,,,,1-2 Characters,,Wrist Strap,,0,,continue,manual,14.50,,TRUE,TRUE,,,,,,,
personalized-keycap-fidget-clicker-keychain-custom-name-or-word-sensory-toy-3d-printed-gift,,,,,,,,3-8 Characters,,Lobster Clasp,,0,,continue,manual,17.50,,TRUE,TRUE,,,,,,,
personalized-keycap-fidget-clicker-keychain-custom-name-or-word-sensory-toy-3d-printed-gift,,,,,,,,3-8 Characters,,Wrist Strap,,0,,continue,manual,20.00,,TRUE,TRUE,,,,,,,
personalized-keycap-fidget-clicker-keychain-custom-name-or-word-sensory-toy-3d-printed-gift,,,,,,,,9-10 Characters,,Lobster Clasp,,0,,continue,manual,20.50,,TRUE,TRUE,,,,,,,
personalized-keycap-fidget-clicker-keychain-custom-name-or-word-sensory-toy-3d-printed-gift,,,,,,,,9-10 Characters,,Wrist Strap,,0,,continue,manual,23.00,,TRUE,TRUE,,,,,,,
